Name,Username,Password,Role,Location
John Doe,johndoe,1234,Farmer,Bangalore
Jane Smith,janesmith,abcd,Company,Mysore
Raj Patel,rajpatel,5678,Farmer,Hubli
Priya Sharma,priyasharma,wxyz,Company,Bangalore
Anil Kumar,anilkumar,pass123,Farmer,Mysore
Sunita Rao,sunitarao,secure456,Company,Hubli
Ramesh Gupta,rameshgupta,hello789,Farmer,Bangalore
Shilpa Verma,shilpaverma,admin101,Company,Mysore
Amit Singh,amitsingh,farmer202,Farmer,Hubli
Neha Jain,nehajain,market303,Company,Bangalore
Vikram Iyer,vikramiyer,crop404,Farmer,Mysore
Divya Nair,divyanair,buy505,Company,Hubli
Suresh Reddy,sureshreddy,sell606,Farmer,Bangalore
Meena Das,meenadas,price707,Company,Mysore
Ajay Thakur,ajaythakur,profit808,Farmer,Hubli
Kavita Joshi,kavitajoshi,demand909,Company,Bangalore
Manoj Yadav,manojyadav,land1010,Farmer,Mysore
Ritu Kapoor,ritukapoor,seed1111,Company,Hubli
Arun Tiwari,aruntiwari,soil1212,Farmer,Bangalore
Pooja Mehta,poojamehta,water1313,Company,Mysore
Ravi Shankar,ravishankar,plant1414,Farmer,Hubli
Sneha Kulkarni,snehakulkarni,grow1515,Company,Bangalore
Naveen Pillai,naveenpillai,field1616,Farmer,Mysore
Lata Rao,latarrao,harvest1717,Company,Hubli
Vijay Saxena,vijaysaxena,crop1818,Farmer,Bangalore
Anju Menon,anjumenon,profit1919,Company,Mysore
Rahul Vyas,rahulvyas,market2020,Farmer,Hubli
Seema Kaur,seemakaur,sell2121,Company,Bangalore
Rajesh Khanna,rajeshkhanna,plant2222,Farmer,Mysore
